书名,出版信息,当前价格,星级,评论数
 机器学习方法在电磁逆散射问题中的应用研究 ,张清河 /2019-06-01  /科学出版社,?99.50,width: 100%;,30条评论
 PySpark机器学习、自然语言处理与推荐系统 介绍如何使用PySpark的机器学习库构建和训练各种机器学习模型。使用相关的PySpark组件，进行数据获取、数据处理和数据分析，开发数据驱动的智能应用。,[印]普拉莫德?辛格(Pramod Singh)著 蒲成 译 /2019-12-18  /清华大学出版社,?26.60,width: 100%;,218条评论
 机器学习――Python实践 以实践为导向，使用 scikit-learn 作为编程框架，强调简单、快速地建立模型，解决实际项目问题,魏贞原 /2018-01-01  /电子工业出版社,?46.60,width: 90%;,1230条评论
 机器学习与安全（影印版） ,克拉伦斯奇奥 著 /2018-11-01  /东南大学出版社,?78.20,width: 100%;,37条评论
 Python机器学习算法与应用 以案例为导向，实践与理论相结合的机器学习,邓立国 /2020-05-01  /清华大学出版社,?31.10,width: 0%;,11条评论
 生物群智计算与机器学习 生物群智计算与机器学习是一门涉及仿生学、数学、计算机科学、生命科学、心理学、控制科学、智能科学、系统科学和社会学等的交叉性学科。本书不仅介绍了生物群智计算*基础、*核心的理论与方法，还有针对性地介绍了,朱云龙、陈瀚宁、申海、张浩 /2020-07-01  /清华大学出版社,?39.50,width: 0%;,9条评论
 Python机器学习一本通 ,"杨志晓,范艳峰 /2020-09-01  /北京大学出版社",?102.10,width: 100%;,1条评论
 机器学习 被誉为内容全面的机器学习教程 Machine Learning期刊主编力作,[英] 弗拉赫（Peter Flach） /2016-01-01  /人民邮电出版社,?55.60,width: 90%;,2574条评论
 机器学习系统设计：Python语言实现 ,[美] 戴维?朱利安（David Julian） /2017-06-05  /机械工业出版社,?41.20,width: 80%;,268条评论
 机器学习视角的结构健康监测 ,（美）Charles R. Farrar等著；单德山等译 /2019-03-01  /科学出版社,?130.40,width: 100%;,46条评论
 Python机器学习及实践---- 从零开始通往Kaggle竞赛之路 ,范淼、李超 /2016-10-01  /清华大学出版社,?22.10,width: 90%;,1377条评论
 机器学习经典算法剖析 基于OpenCV OpenCV算法精解 人工智能计算机视觉机器学习算法教程 十大算法全涵盖 夯实机器学习数学基础,赵春江 /2018-08-01  /人民邮电出版社,?46.30,width: 100%;,379条评论
 数据流机器学习：MOA实例 精彩地介绍数据流分析，并使用免费开源软件框架MOA展示*前沿方法。,阿尔伯特?比费特，理查德?戈华达，杰弗里?福尔摩斯，伯恩哈德?普法林格 /2019-12-09  /机械工业出版社,?54.50,width: 100%;,58条评论
 面向金融的机器学习（影印版） ,Jannes Klaas著 /2020-08-01  /东南大学出版社,?78.60,width: 0%;,0条评论
 机器学习及其应用（英文版） ,（印）M. Gopal（M. 戈帕尔） /2019-12-01  /电子工业出版社,?123.50,width: 100%;,6条评论
 大话数据科学――大数据与机器学习实战（基于R语言） 多图多思想，缜密学习思维导图，全套学习课件，全彩印刷、卓越体验。学习数据科学，看陈文贤老师的就对了。,陈文贤 /2020-07-01  /清华大学出版社,?64.00,width: 100%;,21条评论
 机器学习及其应用2019 ,于剑、封举富、张敏灵、俞扬 /2019-12-01  /清华大学出版社,?54.50,width: 100%;,56条评论
 机器学习：实用案例解析（机器学习和数据挖掘领域的经典图书基础理论与实践完美的结合） ,(美)康威 /2013-04-01  /机械工业出版社,?54.50,width: 90%;,1677条评论
 Scala机器学习：构建现实世界机器学习和深度学习项目 ,[德]雷祖尔?卡里姆（Md. Rezaul Karim） /2019-10-18  /机械工业出版社,?78.20,width: 100%;,102条评论
 Python无监督机器学习最佳实践 探讨Python环境下的无监督机器学习。,[美]本杰明?约翰斯顿 等著 唐盛 译 /2020-07-01  /清华大学出版社,?89.00,width: 0%;,0条评论
 应用机器学习方法度量在线品牌忠诚度模型构建研究 思源文库,赵玮 /2017-07-01  /北京交通大学出版社,?50.60,width: 0%;,11条评论
 AI制胜：机器学习极简入门 无需高深的数学基础也能上手 每个算法都配有案例,宋立桓 /2020-07-01  /清华大学出版社,?24.50,width: 0%;,6条评论
 机器学习vs复杂系统 ,许铁 /2018-07-01  /电子工业出版社,?40.70,width: 100%;,180条评论
 机器学习与优化 机器学习实战教程 摒弃复杂的公式推导 从实践上手机器学习 人工智能领域先驱、IEEE会士巴蒂蒂教授领导的LION实验室多年机器学习经验总结,[意] 罗伯托?巴蒂蒂（Roberto Battiti） ，毛罗?布鲁纳托（Mauro Brunato） /2018-05-01  /人民邮电出版社,?62.70,width: 100%;,403条评论
 机器学习算法及其应用 ,吴梅梅 /2020-07-07  /机械工业出版社,?40.00,width: 0%;,1条评论
 白话大数据与机器学习 以降低学习曲线和阅读难度为宗旨，重点讲解了统计学、数据挖掘算法、实际应用案例、数据价值与变现，以及高级拓展技能，清晰勾勒出大数据技术路线与产业蓝图,高扬 /2016-06-15  /机械工业出版社,?48.20,width: 90%;,2192条评论
 深入理解XGBoost：高效机器学习算法与进阶 打通高效机器学习脉络，深入剖析集成学习中集大成者――XGBoost原理、分布式实现、模型优化、深度应用等。,何龙 /2019-12-12  /机械工业出版社,?69.20,width: 100%;,388条评论
 神经网络与机器学习[原书第3版] ,（加）海金 /2011-03-01  /机械工业出版社,?55.20,width: 90%;,4779条评论
 机器学习经典算法实践 ,肖云鹏 卢星宇 许明 汪浩瀚 吴斌 刘宴兵 著 /2018-07-19  /清华大学出版社,?49.00,width: 100%;,54条评论
 机器学习与数据科学 基于R的统计学习方法 为数据科学家提供bibei工具和技巧 使用R统计环境，快速上手实践,[美]Daniel D. Gutierrez 古铁雷斯 /2017-05-01  /人民邮电出版社,?41.50,width: 90%;,353条评论
 python在机器学习中的应用 手机扫码看同步视频讲解，Python机器学习入门实战教程，结合实际数据帮助对算法的理解和应用。助你成为机器学习“老司机”和人工智能的开发者。,余本国 孙玉林 /2019-06-01  /水利水电出版社,?39.50,width: 100%;,718条评论
 数据挖掘与机器学习――WEKA应用技术与实践（第二版） 系统讲解经典的数据挖掘机器学习工具Weka，初学者的入门经典，研究者的钻研利器,袁梅宇 /2016-08-01  /清华大学出版社,?35.60,width: 100%;,523条评论
 Python机器学习实践指南 机器学习人工智能深度学习领域参考书 轻松掌握机器学习实战知识 应用高级机器学习方法解决日常问题,[美] Alexander T. Combs /2017-04-01  /人民邮电出版社,?46.30,width: 90%;,6807条评论
 基于复杂网络的机器学习方法 利用复杂网络的结构和动力学特性，可以为机器学习中的特征选择以及样本标注提供新方法。,[巴西]迪亚戈?克里斯蒂亚诺?席尔瓦（Thiago Christiano Silv /2018-11-05  /机械工业出版社,?62.40,width: 100%;,519条评论
 机器学习理论与应用――基于云教育环境 通过云教育平台主题模型可视化应用的实现过程来说明如何将主题模型应用于教育数据处理分析,马长林、郑世珏、刘三女牙 /2019-06-11  /清华大学出版社,?49.00,width: 0%;,10条评论
 Java机器学习 以主流语言Java实现机器学习,"（美）乌黛?卡马特（Dr. Uday Kamath）, 克里希纳?肖佩拉（K /2018-10-15  /机械工业出版社",?62.20,width: 100%;,172条评论
 Python机器学习 预测分析核心算法 人工智能深度学习参考书目 掌握算法和Python编程 用Python分析数据 预测结果的简单高效的方式,[美] Michael Bowles 鲍尔斯 著 /2016-12-01  /人民邮电出版社,?46.30,width: 90%;,3475条评论
 基于Azure的自动机器学习 微软副总裁作推荐序，本书不仅提供了有深度的技术介绍，还提供了大量实践示例和案例研究，展示了如何使用自动机器学习解决实际问题。,"[美]莫昆图（Deepak,Mukunthu），[美]沙阿（Parashar,Shah），[美]卓伟雄（Wee,{ /2020-09-01  /中国电力出版社",?46.90,width: 0%;,0条评论
 揭秘深度强化学习 机器学习深度学习人工智能丛书 AlphaGo核心算法揭秘 深度学习与强化学习的结合 AlphaGo核心算法 一本书读懂深度学习、强化学习、神经网络（CNN/RNN/RCNN）的底层算法 1000行代码源文件下载160多张学习示意图120多个公式,彭伟 /2018-05-01  /水利水电出版社,?44.50,width: 90%;,2293条评论
 Python机器学习――数据分析与评分卡建模（微课版） Python从零基础入门到案例实战演练，配有270分钟高清视频讲解和丰富教学资源。,翟锟、胡锋、周晓然 /2019-04-12  /清华大学出版社,?22.10,width: 90%;,351条评论
 机器学习算法 第2版（影印版） ,[意] 朱塞佩?博纳科尔索 著 /2019-05-01  /东南大学出版社,?85.30,width: 0%;,17条评论
 机器学习案例分析（基于Python语言） ,王恺 /2020-03-01  /电子工业出版社,?77.40,width: 100%;,54条评论
 Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现 简单的Python，可以完成复杂的机器学习算法，跟北大数学系的学霸一起来吧！,何宇健 编著 /2017-06-01  /电子工业出版社,?30.70,width: 90%;,3152条评论
 统计强化学习：现代机器学习方法 日本人工智能领域知名学者杉山将教授所著，学习和研究强化学习技术的重要参考书籍。,[日]杉山将（Masashi Sugiyama） /2019-05-15  /机械工业出版社,?55.20,width: 100%;,445条评论
 机器学习Web应用 全面Python机器学习的图书 学会在Web下构建机器学习系统的权V指南,[意] Andrea Isoni 爱索尼克 /2017-08-01  /人民邮电出版社,?39.60,width: 90%;,273条评论
 机器学习及其应用2017 ,高阳、陈松灿 /2017-11-01  /清华大学出版社,?45.80,width: 70%;,48条评论
 基于机器学习的行为识别技术研究 本书可以作为从事图像理解、模式识别、机器视觉等相关专业研究人员的参考书，对于计算机科学与技术、信息与通信工程、电子科学与技术等专业的研究生和高年级本科生也有一定的参考价值。,涂宏斌、 邱艳艳 /2016-09-26  /知识产权出版社,?22.10,width: 100%;,94条评论
 机器学习实践指南 基于R语言 用R语言开发机器学习和数据科学的快速入门指南,[英] 尼格尔?刘易斯（N.D. Lewis） 著 /2018-04-01  /人民邮电出版社,?39.60,width: 70%;,92条评论
 机器学习、深度学习与强化学习 从原理解析、数学解析两个方面对机器学习进行剖析,林强 /2019-05-28  /知识产权出版社,?46.60,width: 100%;,32条评论
 机器学习实践 测试驱动的开发方法 面技术开发人员 CTO 咨询顾问人员 涵盖了测试驱动的机器学习、机器学习概述等诸多内容,[美] 柯克（Matthew Kirk） 著，段菲 译 /2015-08-01  /人民邮电出版社,?34.50,width: 100%;,114条评论
 机器学习简明教程 机器学习知识体系的深度凝炼，集知识的系统性、可读性、可用性于一体，简明而不简单，机器学习初学者必备,汪荣贵 /2020-04-21  /机械工业出版社,?56.50,width: 0%;,2条评论
 Python机器学习 Python机器学习实战教程 人工智能图书 Python程序员进阶图书 涵盖数据可视化 无监督学习 神经网络和深度学习 推荐系统等常见知识,[印]阿布舍克?维贾亚瓦吉亚（Abhishek Vijayvargia） /2019-02-01  /人民邮电出版社,?35.20,width: 100%;,342条评论
 数据挖掘：实用机器学习工具与技术（原书第4版） 全面反映数据挖掘与机器学习领域的技术变革，备受欢迎的Weka软件同步升级,［新西兰］ 伊恩 H. 威腾 /2018-03-15  /机械工业出版社,?78.20,width: 90%;,223条评论
 大数据与机器学习：复杂社会的政治分析 （本书是对外经济贸易大学国际关系学院董青岭副教授的*研究成果，提供您洞察国际政治变动和复杂的人际关系的可行性。,董青岭 /2019-02-01  /时事出版社,?59.90,width: 70%;,131条评论
 Python机器学习与量化投资 ,何海群 /2018-12-01  /电子工业出版社,?62.40,width: 100%;,163条评论
 机器学习统计学（影印版） ,[印] 普拉塔普?丹格迪 编 /2018-08-01  /东南大学出版社,?77.40,width: 90%;,98条评论
 深入理解机器学习：从原理到算法 近几年机器学习理论方面的优秀著作，全面清晰地讨论了机器学习理论领域重要的算法和思想。由两位改论语理论基础的关键贡献者所著，内容覆盖理论基础到算法。,[以] 沙伊?沙莱夫-施瓦茨 /2016-07-18  /机械工业出版社,?55.20,width: 90%;,1838条评论
 Python机器学习编程与实战 ,林耀进 张良均 /2020-07-01  /人民邮电出版社,?47.70,width: 0%;,8条评论
 scikit-learn机器学习 第2版 掌握Python机器学习的有效工具 搞定scikit-learn的指南,[美]加文?海克（Gavin Hackeling） /2019-02-01  /人民邮电出版社,?39.60,width: 100%;,830条评论
 机器学习实战：基于Scikit-Learn Keras和TensorFlow（原书第2版） “美亚”人工智能畅销榜首图书，基于TensorFlow 2和Scikit-Learn的新版本全面升级，内容增加近一倍！Keras之父鼎力推荐，从实践出发，手把手教你从零开始搭建起一个神经网络。,（法）奥雷利安?杰龙（Aurélien Géron）著 译者：宋能辉 李娴 译 /2020-10-02  /机械工业出版社,?149.00,width: 0%;,0条评论
 机器学习算法原理与编程实践 ,郑捷 著 /2015-10-01  /电子工业出版社,?60.70,width: 90%;,1821条评论
 机器学习之路――Caffe、Keras、scikit-learn实战 本书适合能看懂Python 代码，对机器学习感兴趣，期望入门的读者。,阿布 胥嘉幸编著 /2017-08-01  /电子工业出版社,?62.40,width: 90%;,740条评论
 机器学习：因子分解机模型与推荐系统 ,燕彩蓉，潘乔 /2019-12-01  /科学出版社,?45.80,width: 100%;,33条评论
 机器学习导论 人工智能专家米罗斯拉夫?库巴特教授25年倾心打造，系统解读了有关机器学习的14个方面，快速读懂机器学习，全面揭开机器学习的奥秘,［美］米罗斯拉夫?库巴特 /2016-11-09  /机械工业出版社,?62.40,width: 100%;,379条评论
 机器学习算法 ,[意]朱塞佩?博纳科尔索（Giuseppe Bonaccorso） /2018-05-30  /机械工业出版社,?54.50,width: 100%;,235条评论
 【按需印刷】-机器学习理论与算法 按需印刷商品，发货时间20个工作日，非质量问题不接受退换货。,张燕平，张铃 等  /科学出版社,?86.00,width: 0%;,8条评论
 机器学习：因子分解机模型与推荐系统 ,燕彩蓉，潘乔 /2020-06-01  /科学出版社,?68.30,width: 0%;,0条评论
 机器学习：实用技术指南 ,（美） 詹森?贝尔（Jason Bell） /2018-05-05  /机械工业出版社,?62.40,width: 100%;,26条评论
 机器学习 理论 实践与提高 机器学习理论知识梳理 经典的实践案例分析 核心算法讲解 机器学习实战经验分享 基于C语言讲解,[法]马西-雷萨?阿米尼（Massih-Reza Amini） /2018-04-01  /人民邮电出版社,?41.50,width: 100%;,124条评论
 李群机器学习 ,李凡长 等著 /2013-04-01  /中国科学技术大学出版社,?47.60,width: 100%;,78条评论
 Python数据挖掘与机器学习实战 【3位专家推荐！详解Python数据挖掘和机器学习的16种常用算法及10大经典案例，涵盖大数据挖掘、机器学习、深度学习、强化学习、在线学习、图像识别等；赠14段操作视频、源文、教学PPT】,方巍 /2019-06-05  /机械工业出版社,?55.20,width: 100%;,433条评论
 面向机器学习的自然语言标注 创建你自己的面向机器学习的自然语言训练语料库。,"[美]普斯特若夫斯基（James Pustejovsky）, [美国]斯塔布斯（Amber Stubbs） /2017-02-23  /机械工业出版社",?73.40,width: 100%;,245条评论
 Python机器学习开发实战 Python机器学习入门，以实战为重点，配有大量代码和案例，简单、快速、易学！,王新宇 /2020-07-01  /人民邮电出版社,?41.20,width: 0%;,108条评论
 移动端机器学习实战 系统介绍机器学习在移动端应用程序开发中的应用 讲述如何使用TensorFlow Lite 和Core ML开发Android与iOS应用程序 手把手教你实现文本检测、面部识别、换脸等7大功能,[印度]卡斯基延?NG（Karthikeyan NG） /2019-10-01  /人民邮电出版社,?39.60,width: 90%;,109条评论
 Spark机器学习 第2版 spark机器学习入门与进阶实战 Spark项目管理委员会成员作品 注重技术实践 通过大量实例演示如何创建有用的机器学习系统,[印]拉结帝普?杜瓦，[印]曼普利特?辛格?古特拉，[南非]尼克?彭特里思 /2018-11-01  /人民邮电出版社,?69.70,width: 100%;,285条评论
 金融科技：人工智能与机器学习卷 金融科技创新 将技术转化为竞争力！,刘斌 赵云德 /2019-09-17  /机械工业出版社,?41.20,width: 100%;,152条评论
 Spark机器学习进阶实战 科大讯飞大数据专家撰写，从基础到应用，面面俱到,马海平 于俊 吕昕 向海 /2018-09-13  /机械工业出版社,?46.60,width: 50%;,153条评论
 社会机器学习 ,黄金才，程光权，刘忠 /2020-03-01  /科学出版社,?117.70,width: 0%;,5条评论
 MATLAB与机器学习 MathWorks图书计划支持、资深行业专家分享、多个工程实例、提供示例源代码和MATLAB中文社区互动,［美］迈克尔?帕拉斯泽克（Michael Paluszek） /2018-02-25  /机械工业出版社,?55.20,width: 90%;,926条评论
 神经网络与机器学习（英文版 第3版） ,"（加）海金（Haykin,S） 著 /2009-03-01  /机械工业出版社",?54.50,width: 90%;,834条评论
 Python大规模机器学习 Python大规模机器学习实用技术、方法及实践指南，快速构建强大的机器学习模型并部署大规模预测应用程序,[荷]巴斯蒂安?贾丁（Bastiaan Sjardin） 等 /2019-05-06  /机械工业出版社,?62.20,width: 100%;,96条评论
 赠视频 机器学习 周志华 人工智能入门教程 西瓜书机器学习入门中文教科书 人工智能深度学习框架实战方法基础教程 清华大 有任何售后问题请联系电话：13560221769,周志华 /2016-01-01  /清华大学出版社,?55.00,width: 70%;,145条评论
 构建实时机器学习系统 Amazon、微软、Google资深机器学习专家倾力打造，融合10年机器学习*线应用的精华。,彭河森 汪涵 /2017-08-25  /机械工业出版社,?54.80,width: 60%;,89条评论
 Python大数据与机器学习实战 算法多、代码多、注释多、案例多，凝聚作者十余年开发和培训经验，帮你快速转型成为大数据工程师。,谢彦 /2020-04-01  /电子工业出版社,?59.50,width: 100%;,104条评论
 面向移动设备的机器学习 本书对面向移动设备的机器学习目前阶段的发展进行了非常清晰的介绍，并提供了大量算法和实际应用程序的示例，深入研究了各种监督学习和无监督学习算法，并详细阐述了TensorFlow Lite、Core ML,[印]雷瓦西? 戈帕拉克里希南 著 武海军 译 /2020-06-01  /清华大学出版社,?49.50,width: 0%;,10条评论
 地球科学大数据挖掘与机器学习 ,周永章，张良均，张奥多，王俊 /2018-09-30  /中山大学出版社,?42.30,width: 0%;,87条评论
 Python大数据分析与机器学习商业案例实战 零基础学机器学习与量化策略、全面揭秘机器学习在商业中的应用实战，详细金融数据风控、股票量化交易等分析,王宇韬 钱妍竹 等 /2020-05-28  /机械工业出版社,?68.80,width: 100%;,150条评论
 大数据挖掘与统计机器学习（第2版）（大数据分析统计应用丛书） ,吕晓玲 宋捷 /2019-01-04  /中国人民大学出版社,?32.50,width: 100%;,99条评论
 组合优化问题的机器学习求解方法 ,郭田德 /2020-09-01  /科学出版社,?69.50,width: 100%;,44条评论
 Python机器学习经典实例 【图灵程序设计丛书】监督学习技术、预测建模、无监督学习算法等前沿话题的实例代码展示 来自Kaggle的经典数据集和机器学习案例 用流行的Python库scikitlearn解决机器学习问题,（美）普拉提克?乔西（Prateek Joshi） /2017-08-01  /人民邮电出版社,?41.50,width: 100%;,936条评论
 机器人操作的机器学习理论――从拟人操作到技巧迁移 ,丁希仑 /2020-06-01  /科学出版社,?58.60,width: 0%;,6条评论
 大数据时代的算法：机器学习、人工智能及其典型实例 数据时代，只有算法能洞悉数据的内在逻辑，让数据产生商业价值！,刘凡平 编著 /2017-01-01  /电子工业出版社,?21.80,width: 90%;,1224条评论
 Python高级机器学习 用Python语言详细解读前沿机器学习技术，助你高效解决数据科学难题,[英] 约翰?哈蒂（John Hearty） /2020-01-01  /人民邮电出版社,?41.50,width: 0%;,36条评论
 Python极简讲义：一本书入门数据分析与机器学习 零入门|高可读|重实战！NumPy、Pandas、Matplolib、Seaborn、sklearn全面解读！提供入门数据科学领域的“极简必要知识”！,张玉宏 /2020-05-01  /电子工业出版社,?57.00,width: 80%;,175条评论
 基于机器学习的物体自动理解技术 ,刘贞报 /2018-04-01  /科学出版社,?77.40,width: 0%;,34条评论
 【按需印刷】-机器学习/因子分解机模型与推荐系统 按需印刷商品，发货时间20个工作日，非质量问题不接受退换货。,科学出版社,?58.00,width: 0%;,0条评论
 实用机器学习 全面的实用解决方案，带领你快速进入机器学习领域,［印］苏尼拉?格拉普蒂 /2018-05-30  /机械工业出版社,?62.40,width: 100%;,28条评论
 高效机器学习：理论、算法及实践 Intel首席平台架构师撰写，将高效机器学习的理论、算法和实践有机结合,[黎]玛丽特?阿瓦德（Mariette Awad） [美]拉胡尔?可汗纳（Rahul Khanna） /2017-10-25  /机械工业出版社,?65.30,width: 100%;,84条评论
 数据挖掘：实用机器学习工具与技术（英文版?第4版） ,伊恩 H. 威腾 /2017-05-04  /机械工业出版社,?101.90,width: 80%;,153条评论
 SAP企业机器学习――赋能业务创新 ,邬学宁、陈泽平、曹晓华、王洪刚 /2018-06-16  /清华大学出版社,?40.10,width: 80%;,100条评论
 Python机器学习实践：测试驱动的开发方法 ,[美] 马修?柯克（Matthew Kirk） /2017-11-20  /机械工业出版社,?46.60,width: 100%;,232条评论
 TensorFlow 1.x机器学习（影印版） ,[越] 全华（Quan Hua），[巴] 夏姆斯?乌尔?阿齐姆（{3 /2018-09-01  /东南大学出版社,?64.70,width: 0%;,18条评论
 Apache Spark机器学习 ,[美]刘永川Alex Liu /2017-03-27  /机械工业出版社,?41.20,width: 90%;,200条评论
 生物信息学中的机器学习分析方法 ,"王雪松,程玉虎,张林 /2020-06-01  /科学出版社",?54.50,width: 100%;,53条评论
 数据挖掘与机器学习――WEKA应用技术与实践 ,袁梅宇 /2014-07-01  /清华大学出版社,?23.80,width: 90%;,518条评论
 机器学习――Python实践,魏贞原 /2018-01-01  /电子工业出版社,?16.99,width: 100%;,226条评论
 深度实践Spark机器学习 中国外汇交易中心超过20年工作经验专家撰写，国家千人计划学者推荐。系统讲解Spark机器学习技术、原理、算法和组件，以及构建Spark机器学习系统的方法、流程、标准和规范。,吴茂贵 郁明敏 朱凤云 张粤磊 杨本法等 /2018-03-05  /机械工业出版社,?54.50,width: 30%;,282条评论
 Python机器学习 第2版（影印版） ,"Sebastian Raschka, Vahid Mirjalili /2018-10-01  /东南大学出版社",?86.10,width: 100%;,78条评论
 Python+TensorFlow机器学习实战 113张图解说明，31个实例，13个案例，详解19种机器学习经典算法。,李鸥 /2019-05-30  /清华大学出版社,?39.50,width: 90%;,355条评论
 模式识别与机器学习技术 ,冶金工业出版社,?36.30,width: 0%;,7条评论
 Python大战机器学习：数据科学家的第一个小目标 人生苦短，我用Python；算法偷懒，我看笔记学霸版,华校专，王正林 /2017-02-01  /电子工业出版社,?54.50,width: 90%;,2311条评论
 Spark机器学习 当机器学习遇上非常流行的并行计算框架Spark......,[南非] 彭特里思（Nick Pentreath） 著 /2015-09-01  /人民邮电出版社,?40.70,width: 100%;,980条评论
 Spark机器学习：核心技术与实践 以实践方式助你掌握Spark机器学习技术,［美］亚历克斯?特列斯 /2018-06-05  /机械工业出版社,?54.50,width: 90%;,197条评论
 套路！机器学习：北美数据科学家的私房课 艺术的R语言，秒天秒地秒统计；Get！女神学姐数据科学技能包,林荟 /2017-10-01  /电子工业出版社,?46.90,width: 100%;,219条评论
 Python机器学习算法 深入分析机器学习中的常用算法，兼顾算法、理论与实践，帮助读者快速掌握算法精髓！,赵志勇 著 /2017-06-01  /电子工业出版社,?54.50,width: 90%;,946条评论
 机器学习：基于OpenCV和Python的智能图像处理,"高敬鹏,江志烨,赵娜  /机械工业出版社",?51.35,width: 0%;,12条评论
 机器学习精讲,（加拿大） 安德烈?布可夫（Andriy Burkov） /2020-01-01  /人民邮电出版社有限公司,?44.16,width: 30%;,85条评论
 Kubeflow: 云计算和机器学习的桥梁 ,何金池 等 /2020-08-01  /电子工业出版社,?39.50,width: 0%;,2条评论
 机器学习技术与实战：医学大数据深度应用,（加）洪松林（Hong Song Lin） /2018-04-01  /机械工业出版社,?45.00,width: 0%;,82条评论
 PyTorch机器学习从入门到实战 PyTorch，机器学习,校宝在线 孙琳 蒋阳波 汪建成 项斌 /2018-10-30  /机械工业出版社,?46.60,width: 90%;,394条评论
" 学习记忆与机器学习实验原理 多学科交叉融合,高水平研究生教材","施静,王天江,田波 /2019-08-15  /华中科技大学出版社",?31.70,width: 0%;,7条评论
 R统计高级编程和数据模型 分析、机器学习和可视化 是一本专家指南，介绍如何将机器学习算法应用到统计分析中，如何用统计分析方法解决一些实际问题。,[美]马特?威利(Matt Wiley)，[美]约书亚?F.威利(Joshua F. Wiley) 著；{ /2020-07-01  /清华大学出版社,?64.00,width: 100%;,1条评论
 Python机器学习 5个数据科学家案例解析 ,[美]达西?哈龙（Danish Haroon）著 潘海为 /2018-09-05  /清华大学出版社,?22.40,width: 90%;,272条评论
 基于H2O的机器学习实用方法：一种强大的可扩展的人工智能和深度学习技术 ,达伦.库克 /2018-07-04  /机械工业出版社,?54.50,width: 0%;,36条评论
 AI前沿深度强化学习与分布式机器学习 套装共2册 微软亚洲研究院机器学习研究团队所著，刘铁岩博士领衔撰写！全面阐述分布式机器学习算法、理论及实践的著作。全彩印刷！人工智能大牛周志华教授倾情推荐！联邦学习进阶必读,刘驰，刘铁岩，等 /2020-08-21  /机械工业出版社,?129.70,width: 0%;,0条评论
 数据产品经理高效学习手册 产品设计、技术常识与机器学习 讲述产品经理的数据产品设计思维框架和具体操作流程 带你修炼数据分析 人工智能(AI)思维数据产品经理必备技能 突破职业瓶颈,张威 /2020-04-01  /人民邮电出版社,?29.50,width: 100%;,144条评论
 机器学习实战：基于Scikit-Learn和TensorFlow,（法）奥雷利安?杰龙 /2018-07-01  /机械工业出版社,?77.35,width: 100%;,101条评论
 机器学习算法原理与编程实践,郑捷 /2015-10-01  /电子工业出版社,?43.99,width: 100%;,254条评论
 机器学习Web应用,（意） Andrea Isoni 爱索尼克  /人民邮电出版社,?35.40,width: 100%;,12条评论
 零基础学R语言数据分析:从机器学习、数据挖掘、文本挖掘到大数据分析 从机器学习、数据挖掘、文本挖掘到大数据分析,李仁钟、李秋缘 /2018-09-08  /清华大学出版社,?26.60,width: 100%;,172条评论
 机器学习从入门到入职――用sklearn与keras搭建人工智能模型,张威 /2020-01-01  /电子工业出版社,?69.30,width: 0%;,9条评论
 Spark机器学习（影印版） ,（英）彭特里思 著 /2016-01-01  /东南大学出版社,?46.90,width: 100%;,32条评论
 机器学习实践指南――基于R语言,（英） 尼格尔?刘易斯（N.D. Lewis） 著 /2018-04-01  /人民邮电出版社,?37.76,width: 0%;,25条评论
 R语言机器学习 机器学习技术综合指南，全面、系统阐述机器学习技术发展全貌,（印度）卡西克?拉玛苏布兰马尼安 /2018-06-13  /机械工业出版社,?78.20,width: 100%;,86条评论
 Python与机器学习 ,陈清华 /2020-03-01  /电子工业出版社,?37.40,width: 100%;,13条评论
 TinyML：基于TensorFlow Lite在Arduino和超低功耗微控制器上部署机器学习 谷歌TensorFlow团队创始成员领衔撰写，谷歌工程师翻译并审校，Arduino联合创始人、Arm副总裁联袂推荐！TinyML里程碑级著作，手把手教你在Arduino和微控制器上部署ML。,[美]皮特?沃登 著，魏兰，卜杰，王铁震 译 /2020-09-10  /机械工业出版社,?102.80,width: 0%;,0条评论
 Python机器学习 ,赵涓涓 强彦 /2019-07-15  /机械工业出版社,?62.10,width: 100%;,60条评论
 机器学习入门到实战――MATLAB 实践应用,冷雨泉 张会文 张伟  /清华大学出版社,?35.40,width: 100%;,24条评论
 百面机器学习 算法工程师带你去面试,"诸葛越,葫芦娃 /2018-08-01  /人民邮电出版社",?14.99,width: 100%;,204条评论
 机器学习:使用OpenCV和Python进行智能图像处理 王磊 译机械工业出版社9787111611516FX 正版图书，可开发票。,王磊 译 /2018-11-01  /机械工业出版社,?76.80,width: 0%;,0条评论
 机器学习实战 人民邮电出版社 [有问题请联系在线客服],[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?20.80,width: 0%;,0条评论
 深入浅出：工业机器学习算法详解与实战 收录了近年来在工业界被广泛应用的机器学习算法和算法周边的一些工程架构及实现原理,张朝阳 /2020-01-10  /机械工业出版社,?54.50,width: 100%;,119条评论
 机器学习开发者指南,（阿根廷）鲁道夫?邦宁（Rodolfo Bonnin）  /人民邮电出版社有限公司,?37.76,width: 0%;,2条评论
" 机器学习导论(原书第2版) 米罗斯拉夫.库巴特,王勇 机械工业出版社 9787111605812 【正版图书，质量保证，可开发票，放心购买】","米罗斯拉夫.库巴特,王勇 /2018-10-01  /机械工业出版社",?60.00,width: 0%;,0条评论
